question,answer,topic
What is serialisation in Python?,"Serializing an object refers to transforming it into a format that can be stored, so as to be able to deserialize it, later on, to obtain the original object.",software engineering
What is pickling and unpickling in Python?,"Pickling basically lets you take Python objects and store them in memory
    
    **Pickling:**
    
    1. Pickling is the name of the serialization process in Python. Any object in Python can be serialized into a byte stream and dumped as a file in the memory. The process of pickling is compact but pickle objects can be compressed further. Moreover, pickle keeps track of the objects it has serialized and the serialization is portable across versions.
    2. The function used for the above process is `pickle.dump()`.
    
    **Unpickling:**
    
    3. Unpickling is the complete inverse of pickling. It deserializes the byte stream to recreate the objects stored in the file and loads the object to memory.
    4. The function used for the above process is `pickle.load()`.",software engineering
What are generators in Python?,"Generators are functions that return an iterable collection of items, one at a time, in a set manner. Generators, in general, are used to create iterators with a different approach. They employ the use of
    
    ```
    yield
    ```
    
    keyword rather than
    
    ```
    return
    ```
    
    to return a **generator** object.
    
    Pseudo code for generator comprehensions:
    
    ```python
    (<expression> for <var> in <iterable> if <condition>)
    ```",software engineering
What is PYTHONPATH in Python?,PYTHONPATH is an environment variable which you can set to add additional directories where Python will look for modules and packages. This is especially useful in maintaining Python libraries that you do not wish to install in the global default location.,software engineering
What is the use of help and dir functions in Python?,"**help()** function in Python is used to display the documentation of modules, classes, functions, keywords, etc. If no parameter is passed to the `help()` function, then an interactive **help utility** is launched on the console.
    
    **dir()** function tries to return a valid list of attributes and methods of the object it is called upon. It behaves differently with different objects, as it aims to produce the most relevant data, rather than the complete information.
    
    1. For Modules/Library objects, it returns a list of all attributes, contained in that module.
    2. For Class Objects, it returns a list of all valid attributes and base attributes.
    3. With no arguments passed, it returns a list of attributes in the current scope.",software engineering
What is the difference between .py and .pyc files?,"    1. .py files contain the source code of a program. Whereas, .pyc file contains the bytecode of your program. We get bytecode after compilation of .py file (source code). .pyc files are not created for all the files that you run. It is only created for the files that you import.
    2.  Before executing a python program python interpreter checks for the compiled files. If the file is present, the virtual machine executes it. If not found, it checks for .py file. If found, compiles it to .pyc file and then python virtual machine executes it.
    3. Having .pyc file saves you the compilation time.",software engineering
How is Python interpreted?,"    1. Python as a language is not interpreted or compiled. Interpreted or compiled is the property of the implementation. Python is a bytecode(set of interpreter readable instructions) interpreted generally.
    2. Source code is a file with .py extension.
    3. Python compiles the source code to a set of instructions for a virtual machine. The Python interpreter is an implementation of that virtual machine. This intermediate format is called “bytecode”.
    4. .py source code is first compiled to give .pyc which is bytecode. This bytecode can be then interpreted by the official CPython or JIT(Just in Time compiler) compiled by PyPy.",software engineering
Are arguments passed by value or by reference in Python?,"In Python, arguments are passed by reference, i.e., reference to the actual object is passed.",software engineering
What is an iterable in Python?,"A name of an iterable object, a Python object which you can iterate over like a list, string, tuple, etc. 
    
    Basically, objects for which you can do:
    
    ```python
    [i for i in iterable_object]
    ```",software engineering
What are iterators in Python?,"    1. An iterator is an object.
    2. It remembers its state i.e., where it is during iteration (see code below to see how)
    3. __iter__() method initializes an iterator.
    4. It has a __next__() method which returns the next item in iteration and points to the next element. Upon reaching the end of iterable object __next__() must return StopIteration exception.
    5. It is also self iterable.
    6. Iterators are objects with which we can use use to iterate over iterable objects like lists, strings, etc.",software engineering
What are the split() and join() functions in Python?,"You can use **split()** function to split a string based on a delimiter to a list of strings.
    You can use **join()** function to join a list of strings based on a delimiter to give a single string.",software engineering
What does *args and *kwargs mean in Python?,"*args
    
    args is a special syntax used in the function definition to pass variable length arguments.
    “*” means variable length and “args” is the name used by convention. You can use any other.
    
    *kwargs
    
    *kwargs is a special syntax used in the function definition to pass variable length keyworded arguments.
    Here, also, “kwargs” is used just by convention. You can use any other name.
    Keyworded argument means a variable that has a name when passed to a function.
    It is actually a dictionary of the variable names and its value.",software engineering
"What are the split(), sub(), subn() methods of “re” module in Python?","To modify the strings, Python’s “re” module is providing 3 methods. They are:
    
    **split()** – uses a regex pattern to “split” a given string into a list.
    **sub()** – finds all substrings where the regex pattern matches and then replace them with a different string
    **subn()** – it is similar to sub() and also returns the new string along with the no. of replacements.",software engineering
What are negative indexes and why are they used in Python?,"Negative indexes are the indexes from the end of the list or tuple or string.
    **Arr[ 1]** means the last element of array **Arr[]**",software engineering
What is the difference between composition and inheritance and why would you favour composition over inheritance in Python?,"Inheritance is a “is a” relationship. Composition is a “has a” relationship.
    
    For example inheritance is when you create a subclass or a child class from a parent class.
    
    For example, Composition can be when you give a class an attribute that is a datatype from another class, or some of the methods of another class. You basically give it data from another class into your new class, but you are not inheriting.",software engineering
What is an abstract class in Python?,"A class is called an Abstract class if it contains one or more abstract methods. An abstract method is a method that is declared, but contains no implementation. Abstract classes may not be instantiated, and its abstract methods must be implemented by its subclasses.
    
    ```python
    import abc
    class Shape(metaclass=abc.ABCMeta):
       @abc.abstractmethod
       def area(self):
          pass
    class Rectangle(Shape):
       def __init__(self, x,y):
          self.l = x
          self.b=y
       def area(self):
          return self.l*self.b
    r = Rectangle(10,20)
    print ('area: ',r.area())
    ```",software engineering
What is an abstract method in Python?,"An abstract method is a method that is declared, but contains no implementation",software engineering
What’s the difference between a class method and a static method in Python?,"    1. A class method takes cls as the first parameter while a static method needs no specific parameters.
    2. A class method can access or modify the class state while a static method can’t access or modify it.
    3. In general, static methods know nothing about the class state. They are utility type methods that take some parameters and work upon those parameters. On the other hand class methods must have class as a parameter.
    4. We use @classmethod decorator in python to create a class method and we use @staticmethod decorator to create a static method in python.",software engineering
What is a protected attribute in Python?,**Protected** attributes are attributes defined with an underscore prefixed to their identifier eg. _sara. They can still be accessed and modified from outside the class they are defined in but a responsible developer should refrain from doing so.,software engineering
What is pandas?,"Pandas is a data analysis Python library. It lets you put structured data into a object called a dataframe, which you can then use for analysing this data.",software engineering
What is a pandas dataframe?,"A dataframe is a 2D mutable and tabular structure for representing data labelled with axes   rows and columns.**The syntax for creating dataframe:**
    
    ```
    import pandas as pd
    dataframe = pd.DataFrame( data, index, columns, dtype)
    ```",software engineering
How will you identify and deal with missing values in a dataframe?,"We can identify if a dataframe has missing values by using the isnull() and isna() methods.
    
    ```
    missing_data_count=df.isnull().sum()
    ```
    
    We can handle missing values by either replacing the values in the column with 0 as follows:
    
    ```
    df[‘column_name’].fillna(0)
    ```
    
    Or by replacing it with the mean value of the column
    
    ```
    df[‘column_name’] = df[‘column_name’].fillna((df[‘column_name’].mean()))
    ```",software engineering
What do you understand by reindexing in pandas?,"Reindexing is the process of conforming a dataframe to a new index with optional filling logic. If the values are missing in the previous index, then NaN/NA is placed in the location. A new object is returned unless a new index is produced that is equivalent to the current one. The copy value is set to False. This is also used for changing the index of rows and columns in the dataframe.",software engineering
What do you understand by numpy?,"Numpy is the most popular Python library for processing arrays. It has powerful performance and can be used to solve problems in linear algebra, arithmetic operation, or searching/sorting/counting.",software engineering
What is scipy?,An open source Python library used for scientific computing.,software engineering
What is the difference between NumPy and SciPy?,"SciPy builds on numpy
    
    Numpy has faster processing speeds
    
    Both libraries complement each other, but you can do more scientific computing with Scipy, it has vast functionality.",software engineering
How are numpy arrays advantageous over Python lists?,"     1. The list data structure of python is very highly efficient and is capable of performing various functions. But, they have severe limitations when it comes to the computation of vectorized operations which deals with element wise multiplication and addition. The python lists also require the information regarding the type of every element which results in overhead as type dispatching code gets executes every time any operation is performed on any element. This is where the NumPy arrays come into the picture as all the limitations of python lists are handled in NumPy arrays.
    
    2. Additionally, as the size of the NumPy arrays increases, NumPy becomes around 30x times faster than the Python List. This is because the Numpy arrays are densely packed in the memory due to their homogenous nature. This ensures the memory free up is also faster.",software engineering
What does if **name** == ‘__main__’ mean in Python?,"It is used to execute some code only if the file was run directly, and not imported.",software engineering
What is multi threading?,"Multithreading (sometimes simply ""threading"") is when a program creates multiple threads with execution cycling among them, so one longer running task doesn't block all the others.",software engineering
What is a polymorphism in Python?,"There are some functions in Python which are compatible to run with multiple data types.
    
    One such function is the `len()` function. It can run with many data types in Python (dictionaries, lists, strings)",software engineering
What is duck typing in Python?,"Python is a duck typing language. It means the data types of variables can change as long as the syntax is compatible.
    
    Eg. instead of defining two functions to get the square of both integers or floats
    
    ```python
    def float_square(x: float):
    	return x ** 2
    
    def int_square(x: int):
    	return x ** 2
    
    # You can just define one function
    
    def square(x):
    	return x
    
    ```",software engineering
What is the difference between a function and a method in Python?,"Both functions and methods perform some operation
    
    A method is a piece of code that is associated with an object and operates upon the data of that object
    
    A function is a series of steps executed as a single unit and encapsulated under a single name",software engineering
When will the else part of try except else be executed in Python?,When no exception occurs,software engineering
What does the finally keyword do in Python?,"The finally block will always be executed, no matter if the try block raises an error or not:
    
    ```python
    try:
      x > 3
    except:
      print(""Something went wrong"")
    else:
      print(""Nothing went wrong"")
    finally:
      print(""The try...except block is finished"")
    ```",software engineering
How are variables referenced in Python?,"    1. first look in the local symbol table
    2. then in the local symbol tables of enclosing functions
    3. then in the global symbol table (global keyword to define global variables inside a function)
    4. finally in the table of built in names",software engineering
What is a keyword only argument in Python?,"Placing an * in the arguments list just before the first keyword only parameter``
    
    1. mark parameters as keyword only
    2. indicating the parameters must be passed by keyword argument
    3. `def kwd_only_args(*, arg1: int, arg2: int)  > ...:`
    4. `def combined_args(pos1: int, /, pos_or_kwd2: int, *, kwd3: int)  > ...:`",software engineering
How do you unpack arguments in a list in Python?,"    1. write the function call with the * operator to unpack the arguments out of a list or tuple``
    2. `keyword_arguments(*args)`
    3.In the same fashion, dictionaries can deliver keyword arguments with the `*`operator: `keyword_arguments(first=10, **args_dict)`",software engineering
How does Python search for modules?,"    1. the interpreter first searches for a built in module with that name
    2. if not found, it then searches for a file named `spam.py` in a list of directories given by the variable `sys.path`",software engineering
What is the compiled version of a module in Python?,"To speed up loading modules, Python caches the compiled version of each module in the `__pycache__` directory under the name `module.version.pyc`, where the version encodes the format of the compiled file.",software engineering
What is the `dir()`function in Python?,"    1. The built in function is used to find out which names a module defines
        variables, modules, functions, etc.
        returns a sorted list of strings
    2. Does not list the names of built in functions and variables",software engineering
What does the `finally` clause do in Python?,"If a `finally` clause is present, it will be executed as the last task before the `try` statement completes",software engineering
Why build visuals?,"    1. Exploratory data analysis
    2. Communicate data clearly",software engineering
What should you remember when making visuals?,"    1. Less is more effective
    2. Less is more attractive
    3. Less is more impactful",software engineering
Why are pie charts bad?,"They make it difficult to compare sizes of categories. Instead, a bar chart with percentages is better.",software engineering
When would you use a stacked area plot?,To compare sizes and proportions of values over time,software engineering
When would you use a histogram?,To show the distribution of a dataset.,software engineering
When would you use a bar chart?,When comparing sizes of groups.,software engineering
When would you use a boxplot?,To see the distribution of your data.,software engineering
When would you use a scatter plot?,To visualise the trend or pattern between two continuous variables.,software engineering
When would you use a bubble plot?,"To show both the pattern between two variables, and to see the size of a third variable.",software engineering
When would you use a waffle chart?,"An alternative to the pie chart, it shows proportions in your data. Eg. Github calendar view",software engineering
When would you use a word cloud?,When trying to visualise the most common words in a body of text.,software engineering
When would you use a Seaborn regplot?,To visualise the trend or pattern between two variables with a linear regression line and the error.,software engineering
What is Folium?,A data visualisation library in Python for visualising geospatial data.,software engineering
What is a choropleth map?,A geographical map which is split up into geographical areas with different colours/shades. The colours and shades represent a value associated with that area.,software engineering
What is a transformer?,"A transformer is a deep learning model architecture introduced in the paper ""Attention Is All You Need"" by Vaswani et al. (2017). It is primarily used for natural language processing tasks such as machine translation, text generation, and language understanding. Unlike traditional recurrent or convolutional neural networks, transformers rely on a self-attention mechanism to capture relationships between different elements of an input sequence.",machine learning
What does GPT stand for?,"GPT stands for ""Generative Pre-trained Transformer."" It is a specific implementation of the transformer architecture that has been widely used for various natural language processing tasks. The GPT models are trained in an unsupervised manner on large amounts of text data and can generate coherent and contextually relevant text.",machine learning
What is an encoder in a transformer?,"In a transformer, the encoder is a component responsible for processing the input sequence. It consists of a stack of identical layers, each of which has two sub-layers: a multi-head self-attention mechanism and a position-wise feed-forward network. The encoder processes the input tokens and produces a sequence of contextualized representations for each token.",machine learning
What is a decoder in a transformer?,"The decoder is another component of the transformer architecture. It is similar to the encoder but also includes an additional multi-head attention layer that attends over the encoder's output. The decoder is used for generating the output sequence autoregressively, token by token, based on the encoded input sequence and previously generated tokens.",machine learning
What is a token in a transformer?,"In the context of transformers, a token represents the smallest individual unit of input in a sequence. It can be a word, a subword, or even a character, depending on the level of tokenization used. The transformer processes these tokens and assigns each of them a corresponding embedding, which is then used as input for the subsequent layers.",machine learning
What is self-attention in a transformer?,"Self-attention, also known as scaled dot-product attention, is a mechanism used in transformers to capture dependencies between different positions within the same sequence. It allows each position to attend to other positions and learn the importance or relevance of those positions. Self-attention is computed by calculating attention scores between query vectors and key vectors, which are derived from the input sequence.",machine learning
What are query vectors in a transformer?,"In a transformer, query vectors are intermediate representations used in the self-attention mechanism. They are derived from the input sequence and serve as the source of information for attending over other positions in the sequence. Query vectors are compared with key vectors to compute the attention scores.",machine learning
What are key vectors in a transformer?,Key vectors are intermediate representations derived from the input sequence in a transformer's self-attention mechanism. They are used in conjunction with query vectors to compute the attention scores. Key vectors capture information about the different positions in the sequence and help determine the importance of each position for a given query.,machine learning
What is the attention score in a transformer?,"The attention score in a transformer represents the relevance or importance of a specific position in the input sequence for a given query. It is computed by taking the dot product of the query vector and the corresponding key vector, scaled by a factor to control the magnitude. The attention scores",machine learning
What is multi-head attention in a transformer?,"Multi-head attention is an extension of the basic self-attention mechanism in transformers. It allows the model to attend to different parts of the input sequence simultaneously and capture various types of relationships. In multi-head attention, the query, key, and value vectors are projected multiple times into different subspaces, and self-attention is performed independently in each subspace. The outputs of these attention heads are then concatenated and linearly transformed to obtain the final representation. Multi-head attention enables the model to capture different types of information and enhance its representation learning capabilities.",machine learning
What is positional encoding?,"Positional encoding is a technique used in transformers to incorporate the order or position of tokens in the input sequence. Since transformers do not inherently encode sequential information, positional encoding is added to provide the model with positional information. It is typically achieved by adding fixed sinusoidal functions of different frequencies and phases to the input embeddings. The positional encodings are learned during training and allow the model to differentiate between tokens based on their relative positions in the sequence. Positional encoding helps the model understand the sequential structure of the input data.",machine learning
What is a feed forward network?,"A feed forward network, also known as a point-wise feed-forward network, is a component present in each layer of the transformer model. It consists of two linear transformations with a non-linear activation function (such as ReLU) applied in between. The feed forward network takes the output from the self-attention mechanism, processes it element-wise, and produces a new representation for each token in the sequence. It introduces non-linearity and enables the model to capture complex interactions and dependencies between tokens. The feed forward network plays a crucial role in the overall transformation and information flow within the transformer.",machine learning
What is an attention head?,"An attention head refers to an individual self-attention mechanism in a multi-head attention layer of a transformer. In multi-head attention, the input embeddings are projected multiple times to different subspaces, and each subspace performs a separate self-attention computation. Each self-attention computation, or attention head, attends to different aspects of the input sequence and captures distinct relationships. By having multiple attention heads, the transformer can capture different patterns and dependencies, allowing for more robust and comprehensive representation learning.",machine learning
What is firmware?,firmware is a specific class of computer software that provides the low-level control for a device's specific hardware.,information technology
What does Dr. ABC stand for?,"Danger, response, airway, breathing",first aid
What should you do if you find someone who has hurt themselves or is lying on the floor?,"Check for danger. Check for a response. Lift head and check inside mouth. Check for breathing by listening cheek to cheek. If the person isn't breathing, call an ambulance and start CPR.",first aid
What is CPR?,Cardiopulmonary rescusitation. Used to pump blood around the body when blood isn't getting to the brain.,first aid
What are the CPR rules?,30 pushes at 100-120 bpm then two breaths with head titled back and nose pinched. Always on a hard surface. Do this until ambulance arrives.,first aid
How do you treat someone who has fainted?,"If someone complains of feeling faint you should sit them down on the floor if possible until they feel better. This is to prevent any injuries occurring if they do fall.

If someone has fainted, you should:

- Raise their legs to improve the blood supply to the brain.
- If they’ve fallen, check for any injuries such as fractures or head injuries.
- Once they recover, help them sit up gradually. Don’t let the casualty stand up straight away as they may just faint again!",first aid
What if someone is breathing but they are unconscious?,Put them into the recovery position with their heads tilted back. Maximum 30 minutes.,first aid
What do you do if you suspect someone has injured their neck or back?,"Do not move their head, neck or back. Call an ambulance.",first aid
What do you do if someone is choking?,"Tell them to cough. 5 slaps on the back while they are bent over. 5 Heimlich manoeuvres. Repeat until they can breath again. If they pass out, do CPR.",first aid
What are the different types of wounds that a victim may sustain?,"**Laceration:** Tearing of the skin & tissue

**Contusion:** A bruise

**Abrasion:** Graze – loss of the superficial layer of skin

**Incision:** A straight clean wound

**Puncture:** Caused by a sharp object which may still be in the wound (foreign / embedded object)",first aid
What are the first aid steps for major bleeding?,"1. Expose injury and **elevate** above level of the heart
2. If there are no foreign objects, apply firm direct pressure over the wound
3. If there is an object, apply **pressure** around the foreign object
4. Call for emergency medical help",first aid
What do you do if a wound is bleeding a lot?,"1. Check the wound and make sure there's nothing stuck in it.
2. If there's nothing in the wound, put pressure on it using a bandage or a clean, folded cloth (such as a tea towel) for 10 minutes.
3. If there's something stuck in the wound, do not try to take it out. Make sure not to press down on the object. Press firmly either side of it to push the edges of the wound together.
4. If the wound is on your hand or arm, raise it above your head. If the wound is on your lower limb, lie down and raise it above the level of your heart. This will help reduce the blood flow.
5. When the bleeding has stopped, firmly wrap a new bandage over the first cloth or bandage.
6. If the wound keeps bleeding, leave the first bandage in place and add another one. Keep pressing firmly on the wound for another 10 minutes.",first aid
How do you clean and dress a cut or graze?,"If the bleeding has stopped, you can clean a small wound and then put a plaster or dressing over it.

1. Wash your hands thoroughly and dry them. Put on disposable gloves if you have some.
2. Clean the wound by rinsing it with bottled or tap water, or by using sterile wipes.
3. Clean the skin around the wound using soap and water or antiseptic – but try not to get antiseptic into the wound.
4. Pat the area dry using a gauze swab or a clean tea towel.
5. Put on a sterile dressing or a plaster.",first aid
What are the different types of burns?,"- Scald – caused by a hot liquid
- Friction – caused by rough surfaces, e.g: carpet
- Radiation/sunburn
- Electrical – will have an entry burn and an exit burn
- Chemical
- Dry – touching hot objects, e.g: a cooker.",first aid
What are the first aid steps for a minor burn?,"**Step 1:** Immediately run the burn under cold running water for a **minimum** of 10 minutes. If running cold water is not available then improvise! You can use other non-toxic liquids such as drinks. Your aim is to cool the burn.

**Step 2:** Expose the affected area and if possible remove anything that could be constricted (watches, jewellery etc.). Do not remove clothing sticking to the burn, instead cool through the clothing.

**Step 3:** After cooling the burn, cover with a non-fluffy dressing/covering. If you have access to a first aid kit, use a non-fluffy sterile dressing. If not then improvise with whatever is available (plastic bag, kitchen clingfilm, teatowel etc.). Be careful not to constrict the burn!

**Step 4:** Seek medical advice for anything except the most minor of burns. Call an ambulance if serious or if the burn is near the face/neck.",first aid
What shouldn't you do if you have a burn?,"- Do not try to remove clothing sticking to a burn, instead cool through the clothing
- Do not apply toothpaste / butter / creams to a burn. Running water is the most effective cooling method.
    - Exception: “Aftersun” lotion is useful for sunburn
- Do not burst any blisters
- Do not stop cooling before 10 minutes is up!",first aid
What are the first aid steps for chemical burns?,"There are a wide variety of chemicals and substances which can cause chemical burns. These can range from household chemicals such as bleach, cleaning products, pesticides to strong industrial chemicals used in the workplace. Chemical burns can be incredibly serious as the chemical will keep damaging the skin and tissue until it is removed.

**Step 1:** Check for any dangers to yourself. The chemicals that caused the casualty’s injuries could also pose a danger to you. Try to establish what caused the burn and how safe the chemicals are. If you are in an enclosed area, move the casualty outside or open windows to prevent the build up of fumes. Wear disposable gloves.

**Step 2:** Cool the burn with copious running water for at least **15 – 20 minutes**. Ensure that you do not come into contact with the water used to cool the burn as it may contain the harmful chemical.

**Step 3:** If any clothing has come into contact with the chemical, it should be removed providing it isn’t sticking to the burn. Try to identify the chemical involved and its container.

**Step 4:** Cover the burn with a sterile, non-fluffy first aid dressing. If no dressing is available, then improvise. Good items to use include cling-film and plastic bags.

If the burn is serious, the casualty shows signs of shock or the casualty becomes drowsy/looses consciousness then call an emergency ambulance immediately. If a large chemical spill has occurred then also ensure the fire brigade and police have also been informed.",first aid
What is a normal pulse in bpm?,60-100 bpm,first aid
What is a normal breathing rate?,12-20 breaths per minute,first aid
What is a heart attack?,"The heart is a muscle which pumps blood around the body. Like every other muscle in the body, it requires a good blood supply to ensure enough oxygen & nutrients are delivered and waste metabolic products (such as Carbon Dioxide) are removed.

The heart receives its blood supply from the [coronary arteries](http://my.clevelandclinic.org/heart/disorders/cad/cad_arteries.aspx) which branch off from the aorta (the main artery in your body).

If a coronary artery becomes blocked (e.g: due to a clot), then the heart muscle beyond the point of the blockage will not receive an adequate blood supply. This will result in death of the heart muscle.

The medical term for a heart attack is ‘myocardial infarction’ (myocardium means heart muscle, infarction is tissue death due to lack of oxygen)",first aid
How do you recognise a heart attack?,"Common signs & symptoms include:

- Central chest pain, which may spread to the arms/jaw/back/abdomen. Does not ease or go away.
- Shortness of breath
- Casualty becomes pale and sweaty
- Fear and anxiety
- Irregular or weak pulse",first aid
What are the first aid steps for a heart attack?,"**Step 1:** Call an ambulance/emergency medical help, say that you suspect someone is having a heart attack.

**Step 2:** Make the person comfortable, if possible ask them to sit on the floor. The best position is known as the “W” position, this involves the person sitting up with something under their knees to raise them. This reduces the strain on the heart.

**Step 3:** If you are able to, ask the casualty to chew on a 300mg (big) aspirin. If they have any other medication for their heart (a spray etc.) which a doctor has told them to use, then let the casualty use it.",first aid
How do you recognise anaphylaxis?,"First of all, the person may tell you that they are allergic to something. Otherwise they may wear a bracelet around their wrist/neck/ankle with details of the nature and severity of their allergy.

The following are signs & symptoms of anaphylaxis. Remember each reaction will be different, and a person may not display all of these signs.

- Difficulty in breathing & speaking
- Generalised rash and swelling over the whole body
- Swollen tongue
- Feeling faint/dizzy possibly leading to collapse
- Nausea and vomiting
- Signs of shock – pale/cold/clammy/weak pulse",first aid
What are the first aid steps for anaphylaxis?,"**Step 1:** [Call an ambulance](https://www.firstaidforfree.com/first-aid-tip-how-to-call-an-ambulance/) immediately.

**Step 2:** If the casualty is carrying any medication, such as an auto-injector containing adrenaline, assist them to use it. The most common auto-injector is the [Epipen](http://www.epipen.com/how-to-use-epipen) however there are a variety of other brands in existence.

**Step 3:** If the casualty starts showing signs of shock, then lie them down with their legs raised to increase blood flow to the brain and vital organs. Otherwise, keep the casualty in the most comfortable position to help with their breathing.

**Step 4:** Reassure the casualty as they may be very anxious and frightened. Be prepared that they may collapse and stop breathing. If they do then you should commence Cardiopulmonary resuscitation (CPR) immediately.",first aid
What is a stroke?,"A stroke (or ‘CVA’ – cerebrovascular accident) is a problem with the blood supply to the brain. The brain has a large and complex system of arteries and veins supplying it with blood.

Broadly, there are two types of stroke:

**Ischemic stroke**: A clot blocks an artery in the brain causing death of brain tissue.

**Hemorrhagic stroke**: An artery in the brain ruptures causing bleeding. For more information, take a look at this [excellent animation from NHS choices](http://www.nhs.uk/Video/Pages/Strokeanimation.aspx).",first aid
How do you recognise a stroke?,"If you suspect a stroke, there is a simple test you can use – The **FAST** test:

**F**ace: Does the person have any facial weakness? Can they smile evenly? Does one side of their face appear to droop?

**A**rms: Can the person raise both arms?

**S**peech: Can the person speak clearly?

**T**ime: Time to call an ambulance if the person fails any of the above tests. You should not delay in calling an ambulance if you suspect a stroke.",first aid
What is diabetes?,"Broadly speaking, diabetes is a problem with the body’s control of blood sugar levels. The body produces a variety of hormones to control blood sugar. The most important is insulin which is released by the pancreas. Insulin acts to reduce blood sugar levels.

There are two main types of diabetes:

**Type 1:** In this case, the body fails to produce enough insulin. Typically onset occurs in childhood however this is not always the case. Type 1 diabetes is often called Insulin Dependent Diabetes Mellitus (IDDM).

**Type 2:** In type 2 diabetes, the pancreas produces enough insulin however cells in the body become resistant to insulin so its effects are reduced.  Type 2 diabetes is more common in later life, and may be affected by various lifestyle factors such as diet and exercise.",first aid
What is hyperglycemia?,"High blood sugar, or hyperglycemia often occurs in undiagnosed diabetics or diabetics who have not taken the correct medication.

The signs and symptoms of high blood sugar are:

- Increased thirst and urination
- Drowsiness and fatigue
- Dry and warm skin
- A ‘fruity’ smell on the breath
- Unconsciousness",first aid
What is hypoglycemia?,"Low blood sugar is known as hypoglycemia. This can occur in diabetics who take too much insulin, or do not eat enough to keep their blood sugar at normal levels. Hypoglycemia can develop very quickly.

The signs and symptoms of low blood sugar (hypoglycemia) are:

- Irritability
- Confusion / irrational behaviour which is out of character
- Weakness and drowsiness
- Clammy skin
- Reducing level of consciousness",first aid
What is the diabetes first aid response?,"The person may tell you they have diabetes, or be wearing a medical alert bracelet with details of their medical condition.

If you suspect someone is suffering from low blood sugar, you should attempt to raise the blood sugar by offering something sweet such as a sugar cube / sugary drink / sugary snack. The casualty may be carrying snacks for such a situation.

If the casualty has a reduced level of consciousness, or does not respond to the treatment above, you should call an emergency ambulance.

If someone is unconscious, don’t try to put anything in their mouth (such as a sugar cube) to attempt to raise their blood sugar as this could be a choking risk.",first aid
What causes seizures?,"There are numerous reasons why someone may have a seizure (convulsion / fit). One of the most well known causes is a medical condition called Epilepsy where the electrical activity in the brain is disturbed. However there can be a variety of other causes including:

- Head injuries
- Drugs / Alcohol
- Poisoning
- Low blood sugar (Hypoglycaemia)
- In infants, high temperatures.

Seizures are often characterised by a loss of consciousness followed by uncontrolled muscle contractions. They can be quite frightening for those who haven’t witnessed a seizure before. Sometimes a seizure is preceded by a warning sign known as an “aura”.",first aid
What are the first aid steps for seizures?,"**Step 1:** Remove any objects from around the casualty (chairs, tables etc.) to prevent them injuring themselves. Make the area as safe as practically possible

**Step  2:** Protect the casualty’s head by padding around it and underneath the neck. Don’t place bulky padding underneath the casualty’s head as this could tilt their head forwards and close their airway.

**Step 3:** Try and establish a cause for the seizure. Are they a known to suffer from Epilepsy? Do they have Diabetes? Have they had an injury recently? Look for medical alert bracelets on the casualty’s wrists/ankles/neck which may contain details of any medical conditions.

**Step 4:** Call an ambulance unless the casualty is known to have seizures regularly and doesn’t normally go to hospital.

**Step 5:** Note how long the seizure lasts for, and whether there are any gaps.

**Step 6:** When the seizure stops, open the casualty’s airway by tilting their head backwards and check for normal breathing for up to 10 seconds. If they are breathing then roll them onto their side to protect their airway. If they are not breathing then commence cardiopulmonary resuscitation.",first aid
What is asthma?,"The body has a system of tubes (known as airways) to carry air from our mouth/nose to our lungs. The largest of these is our trachea (known as windpipe). This then splits into two bronchi which then split into a network of tiny bronchioles. This network of bronchioles delivers air to the tiny sacs where gas exchange takes place (known as alveoli).

Asthma is an inflammatory condition of the smallest airways – the bronchioles. These tiny tubes can become inflamed and secrete excessive amounts of mucous causing severe difficulty in breathing. This is known as an asthma attack. The cause of asthma is thought to be a combination of environmental and genetic factors.

An asthma attack is normally triggered by something, whether it be an allergen (e.g: pollen, dust, vehicle emissions, soot etc.) or an environmental condition such as cold air. Normally, an asthma attack is characterised by the following symptoms:

- A wheezing sounds when breathing
- Difficulty in breathing
- Unable to complete a full sentence
- Hyperventilation
- Anxiety and panic
- Reducing levels of consciousnessThe body has a system of tubes (known as airways) to carry air from our mouth/nose to our lungs. The largest of these is our trachea (known as windpipe). This then splits into two bronchi which then split into a network of tiny bronchioles. This network of bronchioles delivers air to the tiny sacs where gas exchange takes place (known as alveoli).

Asthma is an inflammatory condition of the smallest airways – the bronchioles. These tiny tubes can become inflamed and secrete excessive amounts of mucous causing severe difficulty in breathing. This is known as an asthma attack. The cause of asthma is thought to be a combination of environmental and genetic factors.

An asthma attack is normally triggered by something, whether it be an allergen (e.g: pollen, dust, vehicle emissions, soot etc.) or an environmental condition such as cold air. Normally, an asthma attack is characterised by the following symptoms:

- A wheezing sounds when breathing
- Difficulty in breathing
- Unable to complete a full sentence
- Hyperventilation
- Anxiety and panic
- Reducing levels of consciousness",first aid
What are the first aid steps for an asthma attack?,"**Step 1:** Sit the casualty down in the position they find most comfortable for their breathing.

**Step 2:** Find their medication, which is normally an inhaler (possibly with a spacer device) containing a drug such as Salbutamol.

**Step 3:** Assist the casualty to use their medication. They should know how many doses to take and how to use the inhaler.

**Step 4:** Provide reassurance and help calm the person’s breathing if they are hyperventilating.",first aid
